area,price
3230,278402.38
4635,575868.53
3916,485640.95
3897,391123.83
1489,141583.84
3843,390156.6
1160,152230.08
4072,612943.67
4538,432282.64
3673,409998.16
3037,354788.62
4224,430647.3
4006,577993.47
4603,592955.78
3559,429529.37
4284,584760.36
2564,441507.24
3908,496651.25
3014,345811.58
3450,440125.59
4362,395782.78
2788,251701.25
1601,318372.16
3056,501692.21
1367,352894.48
2192,262981.83
4837,388647.2
3022,389679.43
1861,265355.83
2682,332160.22
2307,321123.28
1065,65451.58
3708,314365.68
3363,274264.66
2600,448653.95
1927,256084.03
4357,541245.42
4005,504816.37
1957,354125.09
2345,317402.04
3757,402379.65
4952,642059.92
3135,286851.64
2648,308799.13
3605,336101.04
1189,81194.24
2480,265370.87
1517,91988.29
1617,129665.18
3630,441892.23
3360,377369.9
1634,273363.42
2365,348170.5
1502,65241.81
3782,509971.05
2657,458906.98
3823,503695.94
2492,357226.57
3116,467651.36
3967,415591.38
3579,260648.08
2997,487226.97
4239,503189.21
2534,273705.8
4698,489954.31
4214,491996.15
1238,205390.45
3454,516742.11
2559,451459.19
2391,151946.38
4530,454553.77
2263,150796.5
3790,440356.31
2626,137117.65
2855,264050.13
4065,429646.48
4800,532414.13
3761,404726.03
3021,246259.1
3354,231822.25
3510,364402.52
2277,265353.22
4945,370149.04
2111,290410.62
2914,279002.49
1540,263390.78
3486,322975.83
2165,191326.98
2619,312082.9
1099,67555.04
3451,310841.7
3563,408051.32
3715,315787.96
4884,486758.64
2280,344956.15
3561,454556.74
2626,247085.15
1895,229216.7
4505,448245.03
2085,275271.61
1873,309185.16
3001,353249.97
2780,327173.27
2021,293399.74
1524,141190.71
3451,457671.85
3025,320540.04
3214,418790.32
2685,268833.39
2607,319369.74
3149,229997.06
2254,307302.53
4804,668179.48
2418,97076.02
3518,469552.47
2499,55045.37
2560,247974.4
3526,536346.63
1297,185533.39
1627,167455.79
4796,344692.7
4592,424237.62
1501,147444.46
2885,352594.59
2898,264556.19
2122,270804.41
4698,420580.36
3849,448401.88
3001,495570.44
2862,382362.29
1183,282281.75
3401,383348.27
4154,377161.82
1226,83640.42
2081,226627.63
2482,393368.17
3987,569432.23
4128,328208.34
2556,109541.29
2932,444552.76
4413,477564.47
1630,367919.07
1594,258454.22
2430,335533.48
2177,390650.28
1673,280339.05
3964,462054.33
2462,363113.2
3286,300054.89
2315,337280.05
4081,371119.83
1806,118641.59
1339,330960.35
3797,389337.35
4860,431089.59
4294,594745.11
2767,264670.4
2818,355372.84
2269,326391.76
2475,187939.2
3855,286689.69
2536,283550.64
2827,268108.67
1013,158543.92
2841,407707.83
4324,508260.01
2053,369280.85
2580,257114.71
1002,141093.84
2212,398219.17
3808,597952.67
3607,434692.23
1918,346175.23
3895,499573.23
2042,238057.46
2306,328755.79
1851,461709.12
1195,260498.58
3828,557869.05
4929,734007.1
2742,264120.87
4373,440838.46
2283,295188.32
1579,119662.89
4132,535405.33
2487,196697.0
4400,503120.94
4738,450351.93
1185,201188.0
1880,314105.71
4475,469081.46
2025,83363.02
1773,181534.61
2465,110555.25
2132,320937.79
4880,423079.2
2690,383661.2
3674,446091.74
4589,469187.11
3596,349259.39
1063,42818.14
2331,98776.88
4230,508969.35
4788,639162.8
1473,442655.47
3461,347930.5
1690,117404.88
2902,441276.86
3763,384965.87
3770,395448.27
4648,500036.88
3233,434353.07
1521,144125.83
3853,377207.74
2085,295286.98
2858,236500.31
2280,406484.62
2097,263269.21
2076,166414.34
1653,98369.82
2434,261780.16
1429,325404.53
3563,458940.47
3977,295733.0
3982,322274.82
2622,196135.28
3269,463332.24
3798,550314.16
2149,351645.12
1154,157893.55
2088,374242.08
3795,487993.45
2795,360974.38
2738,257760.77
3072,300171.39
4532,445270.27
2254,364922.32
2898,255577.76
1471,223549.95
1631,403803.5
2932,396747.53
3239,480088.8
2823,383447.46
3917,585135.19
2720,335597.11
2259,142889.67
3098,346715.66
3436,506986.58
4762,649081.63
3930,565775.34
2486,344682.56
1998,411683.48
2144,372180.53
4655,502571.66
4188,457025.67
3561,362899.83
1949,311069.65
4935,568144.09
2441,223915.47
3471,504313.23
4978,596053.64
2586,154964.41
1070,234260.4
2982,379531.14
1108,149125.87
4843,389603.53
2954,253506.58
4685,473185.6
1251,220376.94
1774,312395.82
2193,397682.3
4656,468047.04
3094,334615.98
4647,588224.41
3774,321874.43
3098,344035.5
4062,527148.41
4637,320943.21
4042,512088.71
1489,208717.27
3554,406944.8
1433,152786.0
2870,338678.34
4684,623220.8
3121,266309.61
3881,426751.99
2285,281087.64
3034,324459.55
3369,369437.83
4128,508334.5
3642,424668.7
4431,673322.12
2691,223339.68
2358,414414.77
1869,279453.28
4564,374620.82
1836,62323.66
4316,574874.22
3104,363674.2
3699,255794.06
4409,495235.56
4911,486763.65
2785,255335.96
1468,275229.58
2243,322955.38
4493,576870.01
1903,348957.89
2886,453697.06
2586,80069.11
3627,329446.28
3172,281571.38
1353,252230.99
2441,352284.47
3265,302206.48
2819,413268.13
2704,510051.67
3962,378130.51
1084,105736.29
1913,370881.48
1673,216816.24
3293,399243.36
2697,401749.01
2139,268625.51
2197,142575.15
4963,568635.53
2220,271790.73
2597,296151.32
3149,212706.59
1655,135016.66
1602,355324.95
2983,303041.53
4471,424280.63
1405,295374.15
1859,368149.8
2795,363022.07
1789,360756.26
4120,508356.37
2885,311636.37
2405,285741.33
2408,329378.97
5000,561509.43
2700,405753.52
2751,393261.58
1608,171710.81
3890,559928.59
3498,224379.58
1607,202838.22
2165,279184.09
2990,485216.17
3569,377787.09
1221,14063.36
4644,437288.07
2752,427880.04
3985,375956.47
2028,293452.35
4310,503996.61
3579,536785.1
1243,335695.1
4528,403608.32
4251,539046.5
4898,498444.45
1856,200391.71
3061,385039.23
2725,216808.0
4838,385069.47
4605,471480.73
3600,582865.03
2652,370702.23
4876,451524.9
3727,468748.23
2485,301147.36
4775,557048.77
2067,281570.78
2738,274756.25
2443,359168.67
2206,164163.36
1620,188794.12
3899,622378.85
2496,368011.76
2713,247015.28
3825,420831.23
4023,402364.61
2680,185482.34
3047,332149.75
1730,78486.34
4101,514453.51
2267,305526.96
3062,366704.38
2048,189616.11
4773,630441.6
4353,620146.6
3806,476727.07
1997,217101.84
2446,239874.18
2057,190032.01
3771,447285.44
2602,245832.5
3424,303129.67
1109,172539.23
2086,223561.07
1847,324476.05
3835,411090.19
4877,385290.68
4418,639627.5
2993,306530.75
4648,453110.12
1487,220411.66
4224,417965.98
4017,543096.04
1033,135022.74
1339,218191.63
3555,315233.34
1628,168075.75
4674,403520.26
4580,577781.66
2409,229349.89
1435,101900.19
2241,403162.89
1957,73613.52
3460,475450.62
3910,483251.93
2138,310247.02
4346,543181.91
3649,232401.79
2402,377353.71
1595,157565.03
2356,350272.28
3775,540773.83
4058,462582.96
4913,582681.03
2854,432510.65
4845,471288.07
3589,570169.99
3289,348536.62
4958,619724.31
2541,227132.93
3614,412853.56
4938,715790.41
2179,191369.57
2175,207928.82
3219,330012.1
2553,219242.31
4069,408346.61
3959,520842.03
4553,558624.36
2365,338488.31
4253,446381.95
4984,513363.06
2710,208296.86
1817,20292.51
2205,306274.15
2000,369954.69
2836,248957.73
4260,468984.83
2862,365568.32
3398,481956.28
1362,112847.44
2660,423383.15
2867,330021.12
4624,548859.21
3665,424219.61
2979,359231.29
1886,241818.98
2055,139655.8
4454,387455.15
4580,420706.26
1604,148749.44
4701,406007.34
3495,472604.41
4486,568701.69
4439,461567.24
1044,-11478.64
2985,441413.79
2898,398770.65
3372,360933.64
1527,94680.66
4886,485992.78
2051,43124.35
1047,220227.54
3264,298875.34
1317,254806.27
2581,354970.22
3851,545515.45
4857,479623.23
2064,261355.13
1737,252112.55
2249,437728.1
3762,581421.23
2295,348973.9
1149,204625.65
4247,427135.26
1497,36728.97
3216,324744.48
1280,175214.83
3438,412746.22
2254,334654.51
3833,350205.66
4399,370652.73
4527,566966.15
3048,364990.87
1424,154020.93
4631,368448.35
3966,622253.47
3314,364437.64
1024,-19630.31
2610,248534.7
4855,438097.05
4779,630564.94
1208,115944.7
3354,375466.81
1145,295716.46
2737,178626.15
1440,237583.86
4452,346325.84
3621,398078.91
1967,157755.69
2364,200894.92
2266,67712.35
1281,180620.88
1382,174013.73
3173,246868.01
4886,623248.28
4753,466883.05
2293,297760.48
4095,515282.05
3899,601680.67
2032,343656.84
3626,468291.84
4153,365703.26
2832,235177.41
4385,448393.93
4490,624275.72
1286,232620.6
1189,121971.5
4592,592841.63
1212,184200.04
3762,358376.78
4122,473144.45
4167,467061.88
2961,330826.41
3545,398065.04
2136,175003.85
4493,439019.08
1070,99611.16
3251,328346.3
1025,149020.71
1911,275653.29
1056,217675.99
1648,305524.8
2300,418498.86
1776,190562.53
3267,328408.7
1200,270509.63
2443,344928.42
4577,559713.46
2997,175592.44
3641,315256.5
2679,323234.67
3105,469396.74
3090,274299.29
2939,273514.34
4659,410368.44
3936,247827.21
3456,231859.37
1801,254246.34
2875,315243.73
2462,252099.95
1559,64010.73
3279,247918.65
3490,467150.45
1181,74930.17
1355,152969.41
1278,115192.03
4531,388867.09
3838,445295.13
2693,322602.42
4371,462484.48
2213,310550.26
2514,428736.21
3464,475247.99
3426,533026.4
2317,413245.09
1470,266035.23
3203,327472.95
2957,339204.35
1488,95526.41
2302,334712.6
2888,243591.66
1729,197575.85
3301,347463.39
3040,359025.9
4582,467720.77
2871,348130.85
1036,198727.45
4362,579899.22
1088,72118.59
1233,178270.22
4521,581654.08
3580,314798.4
4850,449509.31
2616,276925.15
3381,479712.71
2001,429931.84
3265,396937.63
3209,337819.57
1962,178834.17
1067,52751.53
2247,213214.62
3093,442666.19
4527,376833.71
4450,502145.59
4748,460299.19
1854,239410.88
2301,122987.75
3641,255573.01
4228,617773.25
4270,412677.17
1162,216131.51
3500,403036.64
1900,238672.31
4659,424040.19
4989,728132.64
2066,370074.51
1785,306570.85
2317,220819.99
4726,692134.4
1908,153209.25
4731,638759.97
4659,568707.12
4014,491230.78
1463,171546.95
2734,279621.66
1984,177257.01
2740,166816.07
4727,459637.89
3759,435112.56
4645,517204.56
1196,48820.05
2673,336262.48
3694,447380.02
3181,343601.06
4418,578231.29
2560,235523.21
4788,389355.6
4834,406904.23
3692,410266.33
1456,213980.68
4566,536494.27
1844,104227.25
1136,159529.0
2848,161532.97
2873,290756.27
1654,175556.66
3402,418913.08
1500,272998.35
2646,218314.57
2240,204483.81
4276,592511.03
4334,340281.69
1046,23654.47
4703,424907.98
2280,249278.5
4207,325723.45
1553,277482.13
1099,216450.57
1927,196174.82
2331,170054.37
4213,467768.69
2213,348531.54
2915,395385.53
1204,91184.04
2404,330083.58
1182,162024.39
3048,507260.19
2992,363690.99
2304,248599.56
4651,422438.69
3135,396310.34
3291,351843.25
1571,377652.38
3683,436114.51
3440,440364.45
4220,560065.76
3442,434336.51
1530,211400.14
2102,172513.03
1551,200701.84
4244,456151.36
